개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,건물소유구분명,건물지상층수,건물지하층수,남성종사자수,다중이용업소여부,데이터갱신시점,도로명주소,발한실여부,사용끝지상층,사용끝지하층,사용시작지상층,사용시작지하층,상세영업상태명,상세영업상태코드,여성종사자수,영업상태코드,욕실수,위생업태명,전화번호,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,3000000-202-1963-00410,1963-06-13,영업/정상,,249.10,110-855,03106,현대옥사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 창신길 22 (창신동),N,1,,,,영업,01,,01,,공동탕업,027634343,,,,200904.097306757    ,452258.945717944    ,서울특별시 종로구 창신동 578-1 ,2025-01-09 17:42:47
3000000,3000000-202-1970-00392,1970-10-07,영업/정상,,262.26,110-043,03040,인왕탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 자하문로 35-6 (통인동),N,1,,,,영업,01,,01,,공동탕업,0207335527,,,,197361.848625828    ,452983.593503638    ,서울특별시 종로구 통인동 147-4 ,2011-06-13 10:33:04
3000000,3000000-202-1970-00412,1970-11-05,영업/정상,,173.46,110-827,03111,은진탕,공동탕업,I,,5,,,N,2025-12-15 16:15:28,서울특별시 종로구 숭인동길 46 (숭인동),Y,1,,,,영업,01,,01,6,공동탕업,029280832,,,,201890.636280279    ,452750.27617696     ,서울특별시 종로구 숭인동 1086 ,2025-01-09 14:53:36
3000000,3000000-202-1972-00386,1972-02-01,영업/정상,,139.17,110-210,03053,코리아탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 삼청로4길 12-1 (화동),N,1,,,,영업,01,,01,,공동탕업,0207251215,,,,198343.177621959    ,453313.503942234    ,서울특별시 종로구 화동 35 ,2025-05-26 14:07:05
3000000,3000000-202-1989-00454,1989-06-15,영업/정상,,367.69,110-540,03106,창신대중사우나,공동탕업,I,,4,,,N,2025-12-15 16:15:28,서울특별시 종로구 종로51길 31 (창신동),N,,2,,,영업,01,,01,,공동탕업,027635295,,,,200919.30031859     ,452335.288046384    ,서울특별시 종로구 창신동 582-21 ,2025-01-09 17:39:57
3000000,3000000-202-1989-00457,1989-12-28,영업/정상,,912.97,110-803,03012,쉐레이 암반수사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 진흥로 432 (구기동),N,,2,,,영업,01,,01,,공동탕업,023794559,,,,196092.743907822    ,456198.595931715    ,서울특별시 종로구 구기동 110-1 ,2024-04-19 10:57:17
3000000,3000000-202-1994-00468,1994-04-18,영업/정상,,949.46,110-320,03132,종로 사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 삼일대로30길 21 (낙원동),N,,2,,,영업,01,,01,,공동탕업,027662572,,,,198913.496136105    ,452416.170780139    ,서울특별시 종로구 낙원동 58-1 ,2024-04-19 10:57:56
3000000,3000000-202-1998-00479,1998-04-01,영업/정상,,625.94,110-350,03131,인사동 한증막,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 율곡로6길 36 (운니동),N,,2,,,영업,01,,01,,공동탕업,027658025,,,,198966.466796388    ,452608.062544497    ,서울특별시 종로구 운니동 65-1 ,2024-04-19 11:16:06
3000000,3000000-202-2001-00001,2001-11-20,영업/정상,,"1,243.48",110-780,03130,종로대중사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 창경궁로 112-7 (인의동,인의빌딩 지하1층)",N,,,,,영업,01,,01,,공동탕업,027410906,,,,199761.062396833    ,452253.74185427     ,서울특별시 종로구 인의동 28-9 인의빌딩 지하1층 ,2024-04-19 11:16:52
3000000,3000000-202-2001-00002,2001-09-01,영업/정상,,598.44,110-052,03170,현대목욕탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 새문안로5가길 32 (적선동,생산성빌딩 지하2층)",N,,2,,2,영업,01,,01,,공동탕업,027348660,,,,197583.394691008    ,452513.612017871    ,서울특별시 종로구 적선동 122-1 생산성빌딩 지하2층 ,2014-09-12 10:47:35
3000000,3000000-202-2002-00003,2002-06-29,영업/정상,,275.94,110-862,03108,수석보석사우나,공동탕업,I,,8,1,,N,2025-12-15 16:15:28,"서울특별시 종로구 지봉로 82, 지하101호 (숭인동, 수석빌딩)",N,,2,,1,영업,01,,01,,공동탕업,027664151,,,,201316.060458185    ,452794.948641315    ,서울특별시 종로구 숭인동 55-6 수석빌딩 지하101호 ,2025-10-02 16:50:47
3000000,3000000-202-2003-00002,2003-02-18,영업/정상,,480.00,110-043,03036,송림사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 필운대로6길 3 (통인동),N,,2,,,영업,01,,01,,공동탕업,027381668,,,,197178.364537562    ,453178.512131734    ,서울특별시 종로구 통인동 35-16 ,2024-04-19 11:17:50
3010000,3010000-202-2025-00004,2025-10-20,영업/정상,,231.00,100-851,04564,에이쓰리 네이쳐,목욕장업 기타,I,,0,1,0,N,2025-12-15 16:15:28,"서울특별시 중구 을지로 255, 지하1층 (을지로6가)",N,,,,,영업,01,0,01,7,목욕장업 기타,,,,,200513.524528228    ,451579.099838143    ,서울특별시 중구 을지로6가 18-130 ,2025-10-20 14:54:46
3010000,3010000-202-2026-00001,2026-01-28,영업/정상,,280.00,100-861,04537,헤라스파에스테,목욕장업 기타,I,임대,7,0,0,N,2026-03-19 23:01:53,"서울특별시 중구 퇴계로 141-10, 2층 (충무로2가)",N,2,0,2,0,영업,01,0,01,9,목욕장업 기타,,,,,198866.36491721     ,451021.050960516    ,서울특별시 중구 충무로2가 61-3 ,2026-03-18 14:16:40
3010000,3010000-202-1980-00257,1980-09-22,영업/정상,,749.09,100-042,04631,퍼시픽호텔,한증막업,I,,5,1,,N,2025-12-15 16:15:28,서울특별시 중구 퇴계로20길 2 (남산동2가),N,0,1,0,1,영업,01,,01,1,한증막업,027777811,,,,198644.069040474    ,450827.86176286     ,서울특별시 중구 남산동2가 31-1 ,2025-06-24 15:09:08
3010000,3010000-202-1984-00255,1984-10-13,영업/정상,,718.23,100-392,04618,앰배서더 서울 풀만 호텔 사우나,한증막업,I,자가,18,2,,N,2025-12-15 16:15:28,서울특별시 중구 동호로 287 (장충동2가),N,,2,,2,영업,01,,01,,한증막업,0222703174,,,,200141.998469463    ,450878.102981055    ,서울특별시 중구 장충동2가 186-54 ,2025-01-21 16:35:18
3010000,3010000-202-1986-00332,1986-11-15,영업/정상,,773.03,100-281,04549,매일온천,공동탕업,I,자가,0,0,,N,2025-12-15 16:15:28,서울특별시 중구 을지로16길 5-10 (인현동1가),N,3,1,1,1,영업,01,,01,6,공동탕업,0222755315,,,,199402.469073595    ,451497.234574572    ,서울특별시 중구 인현동1가 46-3 ,2019-10-24 09:41:41
3010000,3010000-202-1987-00310,1987-02-09,영업/정상,,776.54,100-400,04615,영빈사우나,공동탕업,I,자가,7,0,,N,2025-12-15 16:15:28,서울특별시 중구 퇴계로56길 18 (쌍림동),N,,1,,1,영업,01,,01,5,공동탕업,0222771141,,,,200419.832186515    ,451197.291107237    ,서울특별시 중구 쌍림동 240 ,2017-10-20 10:26:21
3010000,3010000-202-1990-00300,1990-01-17,영업/정상,,867.00,100-450,04598,수정대중사우나,공동탕업,I,자가,5,0,,N,2025-12-15 16:15:28,서울특별시 중구 동호로11길 33 (신당동),N,4,0,2,0,영업,01,,01,8,공동탕업,22351561,,,,200756.091200185    ,450154.733137123    ,서울특별시 중구 신당동 363-4 ,2011-07-21 14:20:40
3010000,3010000-202-1993-00288,1993-05-10,영업/정상,,417.50,100-392,04605,서울크럽,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 중구 장충단로 86 (장충동2가),N,1,,1,,영업,01,,01,,공동탕업,0222003117,,,,200255.626074093    ,450093.361161044    ,서울특별시 중구 장충동2가 208-0 ,2009-06-19 17:48:48
3010000,3010000-202-1994-00293,1994-11-12,영업/정상,,793.20,100-887,04568,동원대중목욕탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,서울특별시 중구 마장로1가길 23 (신당동),N,0,2,0,1,영업,01,,01,3,공동탕업,0222331356,,,,201125.519016657    ,451867.372461174    ,서울특별시 중구 신당동 213-2 ,2012-10-12 17:04:47
3010000,3010000-202-1995-00250,1995-02-11,영업/정상,,"1,077.49",100-070,04533,(주)조선호텔앤리조트 CAC,목욕장업 기타,I,자가,20,0,,N,2026-01-01 02:40:00,서울특별시 중구 소공로 106 (소공동),N,2,0,2,0,영업,01,,01,6,목욕장업 기타,023170247,,,,198172.151119488    ,451350.969223428    ,서울특별시 중구 소공동 87-1 조선호텔 3층 ,2025-12-30 17:33:02
3010000,3010000-202-1997-00252,1997-01-16,영업/정상,,"1,279.25",100-021,04538,(주)전은서비스,목욕장업 기타,I,자가,0,1,,N,2025-12-15 16:15:28,서울특별시 중구 명동11길 19 (명동1가),N,0,1,0,1,영업,01,,01,6,목욕장업 기타,0237055382,,,,198654.42352636     ,451406.949541276    ,서울특별시 중구 명동1가 4-1 ,2024-11-06 13:53:27
3010000,3010000-202-1998-00285,1998-10-10,영업/정상,,721.41,100-802,04527,남대문목욕탕,공동탕업,I,자가,10,1,,N,2025-12-15 16:15:28,"서울특별시 중구 퇴계로 27 (남대문로5가,남대문오피스텔B/D 지하1층)",N,0,1,0,1,영업,01,,01,5,공동탕업,027791313,,,,197799.810120099    ,450597.435927023    ,서울특별시 중구 남대문로5가 171 남대문오피스텔B/D 지하1층 ,2011-07-21 14:27:56
3010000,3010000-202-2000-00002,2000-12-11,영업/정상,,400.00,100-866,04627,매경휘트니스클럽,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,서울특별시 중구 퇴계로 190 (필동1가),N,0,4,0,4,영업,01,,01,3,공동탕업,20002663,,,,199297.937259125    ,450912.574992552    ,서울특별시 중구 필동1가 30 매일경제신문사 지하4층 ,2014-01-03 15:02:03
3010000,3010000-202-2001-00002,2001-08-24,영업/정상,,782.48,100-860,04537,황금사우나,공동탕업,U,임대,0,2,,N,2026-04-01 03:03:03,"서울특별시 중구 명동8가길 27 (충무로2가,션사인빌딩 지하2.3층)",N,0,2,0,2,영업,01,,01,11,공동탕업,023188011,,,,198737.553769773    ,451081.894647871    ,서울특별시 중구 충무로2가 11-1 션사인빌딩 지하2.3층 ,2026-03-31 10:48:27
3010000,3010000-202-2002-00010,2002-02-05,영업/정상,,"1,596.37",100-856,04605,(주)호텔신라,목욕장업 기타,I,,,,,N,2025-12-15 16:15:28,서울특별시 중구 동호로 249 (장충동2가),N,3,,3,,영업,01,,01,,목욕장업 기타,22303520,,,,200463.625303538    ,450497.460903907    ,서울특별시 중구 장충동2가 202 ,2011-07-21 13:20:44
3010000,3010000-202-2003-00006,2003-02-26,영업/정상,,.00,100-330,04546,코리아목욕탕,공동탕업,I,임대,4,0,,N,2025-12-15 16:15:28,"서울특별시 중구 청계천로 188 (주교동, 3층)",N,5,0,3,0,영업,01,,01,3,공동탕업,22744324,,,,199799.208083924    ,451816.806629958    ,서울특별시 중구 주교동 96-1 3층 ,2017-03-03 11:31:28
3010000,3010000-202-2003-00008,2003-02-26,영업/정상,,376.00,100-846,04550,하나머드한증막,공동탕업,I,임대,0,1,,N,2025-12-15 16:15:28,"서울특별시 중구 을지로14길 7 (을지로3가, 성진빌딩)",N,0,1,0,1,영업,01,,01,2,공동탕업,22685510,,,,199243.719707907    ,451518.197727854    ,서울특별시 중구 을지로3가 295-4 ,2015-06-15 16:06:48
3010000,3010000-202-2004-00001,2004-01-09,영업/정상,,"1,548.90",100-826,04589,동궁사우나,한증막업,I,,0,0,,N,2025-12-15 16:15:28,"서울특별시 중구 다산로 168 (신당동, 성원빌딩 지하1,2층)",N,0,2,0,1,영업,01,,01,8,한증막업,0222359024,,,,201086.643957694    ,450686.476066139    ,"서울특별시 중구 신당동 333-175 성원빌딩지하1,2층 ",2014-06-16 19:04:15
3010000,3010000-202-2004-00003,2004-04-06,영업/정상,,521.00,100-011,04536,명동머드,공동탕업,I,임대,6,1,,N,2025-12-15 16:15:28,서울특별시 중구 명동8나길 22 (충무로1가),N,6,0,3,0,영업,01,,01,3,공동탕업,027521919,,,,198496.261600223    ,451022.539250764    ,서울특별시 중구 충무로1가 22-6 ,2024-12-31 13:31:15
3010000,3010000-202-2006-00001,2006-07-31,영업/정상,,225.97,100-450,04595,레이(Lei)여성사우나,공동탕업,I,자가,0,0,,N,2025-12-15 16:15:28,"서울특별시 중구 다산로 32 (신당동,남산타운아파트 스포츠센타)",N,1,0,1,0,영업,01,,01,3,공동탕업,0222331253,,,,200750.455125653    ,449638.824308081    ,서울특별시 중구 신당동 844 남산타운아파트 스포츠센타 ,2017-09-18 13:57:57
3010000,3010000-202-2007-00001,2007-03-15,영업/정상,,469.65,100-440,04571,주신사우나,공동탕업,I,자가,10,2,,N,2025-12-15 16:15:28,서울특별시 중구 마장로9길 33 (황학동),N,0,2,0,1,영업,01,,01,5,공동탕업,0222378837,,,,201637.855135326    ,451945.75542127     ,"서울특별시 중구 황학동 73-1 (지하1,2층) ",2014-01-03 15:03:28
3010000,3010000-202-2007-00002,2007-04-09,영업/정상,,462.00,100-810,04536,명동 서초 한증막,한증막업,I,,6,1,,N,2025-12-15 16:15:28,"서울특별시 중구 명동4길 25 (명동2가,(지상3층))",N,3,0,3,0,영업,01,,01,4,한증막업,027554649,,,,198525.848324122    ,451141.226369577    ,서울특별시 중구 명동2가 53-1 (지상3층) ,2019-05-29 11:00:23
3010000,3010000-202-2008-00001,2008-07-04,영업/정상,,"1,422.70",100-195,04546,정건사우나,공동탕업+찜질시설서비스영업,I,자가,13,3,,N,2025-12-15 16:15:28,"서울특별시 중구 을지로 213 (을지로5가,정건벨라지오 지하1,2층)",N,0,2,0,1,영업,01,,01,5,공동탕업+찜질시설서비스영업,0222694700,,,,200090.428459125    ,451647.218394571    ,"서울특별시 중구 을지로5가 20-1 정건벨라지오 지하1,2층 ",2017-01-11 09:18:58
3010000,3010000-202-2010-00002,2010-05-26,영업/정상,,877.62,100-856,04605,반얀트리사우나(Banyan Tree Sauna),공동탕업,I,자가,0,0,,N,2025-12-15 16:15:28,"서울특별시 중구 장충단로 60 (장충동2가, 신관 2층)",N,2,,2,,영업,01,,01,0,공동탕업,0222508000,,,,199977.75993654     ,449777.515840267    ,서울특별시 중구 장충동2가 201 신관 2층 ,2025-11-18 15:01:23
3010000,3010000-202-2010-00003,2010-11-22,영업/정상,,"3,878.20",100-851,04564,(주)스파렉스,공동탕업,I,임대,0,0,,N,2025-12-15 16:15:28,"서울특별시 중구 장충단로 247 (을지로6가, 굿모닝시티 지하3층 B301호)",N,0,4,0,3,영업,01,,01,12,공동탕업,0221184400,,,,200573.641273539    ,451621.036467544    ,서울특별시 중구 을지로6가 18-21 굿모닝시티 지하3층 B301호 ,2025-12-12 13:47:12
3010000,3010000-202-2011-00004,2011-10-27,영업/정상,,324.68,100-042,,지우스파,공동탕업,I,임대,0,0,,N,2025-12-15 16:15:28,"서울특별시 중구 퇴계로20길 지하 32, 1층 (남산동2가, 사보이빌딩)",Y,,1,,1,영업,01,,01,2,공동탕업,027770087,,,,198685.379305504    ,450717.172958139    ,서울특별시 중구 남산동2가 27-1 사보이빌딩 지하1층 ,2011-10-31 17:14:47
3010000,3010000-202-2011-00005,2011-11-01,영업/정상,,"3,152.29",100-440,,황금스파,공동탕업+찜질시설서비스영업,I,,0,0,,N,2025-12-15 16:15:28,"서울특별시 중구 청계천로 지하 400 (황학동, 롯데베네치아메가몰 지하2층 B2001, B2002)",N,0,0,0,2,영업,01,,01,10,공동탕업+찜질시설서비스영업,0222318000,,,,201823.908977364    ,452076.818664092    ,"서울특별시 중구 황학동 2545 롯데베네치아메가몰 지하2층 B2001,B2002 ",2017-10-11 14:28:44
3010000,3010000-202-2013-00002,2013-04-17,영업/정상,,.00,100-080,04526,더사우나(The Sauna),공동탕업,I,자가,0,0,,N,2025-12-15 16:15:28,"서울특별시 중구 세종대로16길 22, 지하1~지하2층 (북창동)",N,0,2,0,1,영업,01,,01,1,공동탕업,0263629157,,,,197996.303190059    ,451214.940443595    ,서울특별시 중구 북창동 17-1 ,2024-08-29 10:22:22
3010000,3010000-202-2013-00003,2013-05-23,영업/정상,,190.48,100-094,04526,사우나(sauna),공동탕업,I,자가,0,0,,N,2025-12-15 16:15:28,"서울특별시 중구 세종대로 58 (남대문로4가, 16층)",N,16,0,16,0,영업,01,,01,5,공동탕업,0220980530,,,,197847.754499522    ,451011.231861517    ,서울특별시 중구 남대문로4가 17-7 16층 ,2014-06-17 09:35:18
3010000,3010000-202-2016-00002,2016-12-22,영업/정상,,413.37,100-210,04539,(주)센터원웰니스,목욕장업 기타,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 중구 을지로5길 26 (수하동, 미래에셋 센터원빌딩 3층)",N,3,,3,,영업,01,0,01,3,목욕장업 기타,027539800,,,,198620.934275413    ,451681.95803574     ,서울특별시 중구 수하동 67 미래에셋 센터원빌딩 3층 ,2016-12-22 17:13:49
3010000,3010000-202-2018-00001,2018-10-19,영업/정상,,198.00,100-860,04537,황금사우나 남탕,공동탕업,I,임대,0,0,0,Y,2026-01-24 22:56:35,"서울특별시 중구 명동8가길 27, 지하2층 (충무로2가)",Y,2,0,2,0,영업,01,0,01,1,공동탕업,,,,,198737.553769773    ,451081.894647871    ,서울특별시 중구 충무로2가 11-1 지하2층 ,2026-01-23 20:15:11
3010000,3010000-202-2018-00002,2018-12-28,영업/정상,,"1,003.80",100-768,04520,버핏그라운드 광화문,공동탕업,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 중구 세종대로 136, 파이낸스빌딩 지하2층 (태평로1가)",Y,,2,,2,영업,01,0,01,5,공동탕업,027778200,,,,197963.789217064    ,451793.816975812    ,서울특별시 중구 태평로1가 84 파이낸스빌딩 지하2층 ,2024-11-20 13:38:39
3010000,3010000-202-2020-00001,2020-04-29,영업/정상,,497.56,100-800,04527,남문 대종탕,목욕장업 기타,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 중구 세종대로2나길 23, 지하1층 (남대문로5가)",N,,1,,1,영업,01,0,01,6,목욕장업 기타,,,,,197692.601616889    ,450709.793991215    ,서울특별시 중구 남대문로5가 36-1 ,2020-04-29 15:04:30
3010000,3010000-202-2020-00002,2020-05-13,영업/정상,,40.00,100-192,04542,(주)스포짐을지,목욕장업 기타,I,임대,0,0,0,N,2025-12-15 16:15:28,"서울특별시 중구 삼일대로 358, 신한L Tower 지하1층 (을지로2가)",N,,1,,1,영업,01,0,01,1,목욕장업 기타,0262508200,,,,198877.134150639    ,451578.377236664    ,서울특별시 중구 을지로2가 205 신한L Tower ,2020-05-13 16:42:14
3010000,3010000-202-2020-00003,2020-10-08,영업/정상,,450.00,100-101,04519,(주)피트비엠,목욕장업 기타,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 중구 세종대로 135, 코리아나호텔 4층 (태평로1가)",N,4,,4,,영업,01,0,01,2,목욕장업 기타,,,,,197867.156641113    ,451779.880897566    ,서울특별시 중구 태평로1가 61-1 코리아나호텔 ,2020-10-08 11:42:57
3010000,3010000-202-2021-00001,2021-09-07,영업/정상,,72.00,100-170,04522,짐구공 헬스 PT 골프 광화문점,목욕장업 기타,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 중구 무교로 16, 9,10층 (무교동)",Y,,,,,영업,01,0,01,0,목욕장업 기타,,,,,198123.904576393    ,451671.110698942    ,서울특별시 중구 무교동 19 ,2025-07-08 15:04:14
3010000,3010000-202-2023-00001,2023-10-20,영업/정상,,104.34,100-824,04585,세신샵 수련,목욕장업 기타,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 중구 다산로36길 11, 동산빌딩 2층 (신당동)",N,,,,,영업,01,0,01,3,목욕장업 기타,,,,,201362.695573425    ,451177.222462071    ,서울특별시 중구 신당동 291-48 동산빌딩 ,2023-10-20 14:29:05
3010000,3010000-202-2023-00002,2023-11-29,영업/정상,,311.72,100-890,04610,어르신헬스케어센터,공동탕업,I,임대,0,0,0,N,2025-12-15 16:15:28,"서울특별시 중구 청구로8길 22, 1층,2층 (신당동)",N,2,,1,,영업,01,0,01,2,공동탕업,0269563518,,,,201144.24879192     ,451013.075206825    ,서울특별시 중구 신당동 304-733 ,2023-11-29 17:07:43
