"금진온천","강릉","73","","","39-40","41","","","","3","5931","온천탕 40℃ 열탕 41℃ 온탕 39℃ 건식 사우나는 73℃","습식 공사 중, 족욕탕/냉기욕/선베드 2"
"양양 더앤온천","양양","67","","19","39","","outdoor","","","3","5964","온탕 : 39도 냉탕 : 19도 노천탕 : 38~39도 건식: 67도","노천탕 온도 개선"
"강릉 신라모노그램 레지던스 스파 파빌리온","강릉","75","","19","39","42","","","20000","3","6126","냉탕 : 19도 온탕 : 39도 열탕 : 42도 건식 사우나 : 75도","수영복 착용 공용 스파"
"청계산글램핑장 뇨끼사우나","서울 성동","83","","","","","hinoki","","","3","6187","건식 온도 83도까지 셋팅해주시는데 안에서 더 올릴수도 있네요","추가 조절 가능, 라운지 샤워"
"덕구온천","강릉","73,62,70","","24","42","44","outdoor|nap","","","3","6207","열탕 44도 온탕 42도 냉탕 24도 옥사우나 73도 자수정 62도","스파랜드 포함, 외기욕/선베드/데크 의자, 자수정 침상"
"대영해수온천","부산 해운대","94","82","18-21","40","44","","","","3","6235","온탕40도 열탕44도 냉탕21도 급냉탕18도 건식94도 습식82도","부산 연산동/안락동 지역"
"할매탕","부산 해운대","","","24","42","43","nap","","","3","6423","온탕 42도 열탕 43도 체감 45도같았어요 냉탕은 24도","맥반석 내기욕공간, 건식 온도 낮음"
"그랜드조선부산","부산","83","","21-22","41-42","43","","","","3","6430","열탕 43도 온탕 41~42도 냉탕 21~22도 건식하나 83도","습식 공사중(3/13), 세신 예약 가능"
"레몬사우나","강릉","93","64","15","40","43","nap","","","3","6523","온탕: 40도 열탕: 43도 냉탕: 15도 건식: 93도 습식: 64도","MEDIUM: record별 온도 차이 있음"
"레몬사우나","서울 성수","93","","19-20","","","","","","3","6542","건식사우나 93도 냉탕도 온도는 19~20 순환되서 더 시원","MEDIUM: 같은 시설 다른 후기, 리모델링/청결"
"하비오 사우나","서울 송파","55","48","15","40","42","","30000","","3","6572","온탕 40도 열탕 42도 냉탕 15도 건식 55도 습식 48도","무료주차 7시간, 어메니티 충실"
"수목원생활온천","대구","","","","","","outdoor","23000","","3","6578","물의 온도, 사우나 온도가 조금 낮더라구요","온도 구체값 명시 없음"
"신사 유사우나","수원","","","","37-40","","jjimjil","","","3","6647","냉탕,온탕37도,온탕40도 한증막 온도 그렇게 놓지않은듯","탕 3개, 앉아 씻는 자리 5개"
"조선팰리스 강남 사우나","서울 종로","85-87","52","18-20","41","","","","","3","6681","온탕 1개: 41도 냉탕 1개: 18-20도 습식: 52도 건식: 85-87도","회원/투숙객 전용, 세신 서비스"
"제주 엠버퓨어힐 사우나","제주","70","","","","","outdoor","","","3","6726","건식사우나 : 약 70°C 냉탕 : 없음 외부 스파 : 있음","냉탕 없음, 투숙객 무료 10:00-19:00"
"제주 오레브 핫스프링 & 스파","제주","75","","19","","41","outdoor|cool_room","","55000","3","6778","열탕 41도 냉탕 19도 노천탕 41도 야외 건식 사우나 75도","파르나스 호텔, 노천탕 6개, 스노우룸"
